AwardID,AwardType,LegalBusinessName,ContractingAgency,DateSigned,ActionObligation,ReferencedIDV,ContractingOffice,NAICS_Code,PSC_Code,EntityCity,UniqueEntityID_DUNS,EntityState,UniqueEntityID_SAM,Zip,UltimateParentUniqueEntityID_DUNS,UltimateParentLegalBusinessName,UltimateParentUniqueEntityID_SAM,CAGE_Code
,DEFINITIVE CONTRACT,FIBER BUSINESS SOLUTIONS GROUP INC,AGRICULTURAL RESEARCH SERVICE,"February 24, 2022"," $58,849.63",,USDA ARS NEA AAO ACQ/PER PROP,238990,Z2HB,NORRISTOWN,142987267,PA,X699HTJAFFQ9,194031002,142987267,FIBER BUSINESS SOLUTIONS INC.,X699HTJAFFQ9,523Z5
,DELIVERY ORDER,GOVERNMENT SCIENTIFIC SOURCE INCORPORATED,AGRICULTURAL RESEARCH SERVICE,"February 24, 2022"," $44,321",GS07F5934R,USDA ARS NEA AAO ACQ/PER PROP,334516,6640,RESTON,785807611,VA,J49CN39QTNW3,201913415,785807611,GOVERNMENT SCIENTIFIC SOURCE  INC.,J49CN39QTNW3,0S908
,BPA CALL,"LEIDOS, INC.","USDA, DEPARTMENTAL ADMINISTRATION","February 24, 2022"," $1,004,782",AG3144B170011,"USDA, OCP-POD-ACQ-MGMT-BRANCH-FTC",541519,D399,RESTON,967488987,VA,JSTDGZNFP4A3,201905661,611641312,LEIDOS HOLDINGS  INC.,ZL41ERXMPAR3,6B6E2
,DELIVERY ORDER,AATD LLC,"USDA, DEPARTMENTAL ADMINISTRATION","February 24, 2022", $0,NNG15SD18B,"USDA, OCP-POD-ACQ-MGMT-BRANCH-FTC",541519,7030,SAN ANTONIO,042861498,TX,X76KEVV61AM9,782513572,042861498,AATD LLC,X76KEVV61AM9,66BA5
,BPA CALL,DELOITTE CONSULTING LLP,"USDA, DEPARTMENTAL ADMINISTRATION","February 24, 2022"," $3,175,867.97",AG3144B170007,"USDA, OCP-POD-ACQ-MGMT-BRANCH-FTC",541512,DF01,ARLINGTON,019121586,VA,CKV2L9GZKJK3,222091742,216754602,DELOITTE TOUCHE TOHMATSU LIMITED,GXJAJT3X6SY3,1TTG5
,BPA CALL,"KNOWLEDGEBANK, INC.","USDA, DEPARTMENTAL ADMINISTRATION","February 24, 2022"," $774,174.96",12318721A0009,"USDA, OCP-POD-ACQ-MGMT-BRANCH-FTC",541611,R431,LEESBURG,132498200,VA,MWMKKLFMK8B4,201753756,132498200,KNOWLEDGEBANK  INC.,MWMKKLFMK8B4,3HQ19
,BPA,STERILE SERVICES CO.,"USDA, DEPARTMENTAL ADMINISTRATION","February 24, 2022", $0,,"USDA, OCP-POD-ACQ-MGMT-BRANCH-FTC",423450,6515,MIAMI,078513449,FL,UK5TLA4W74E5,331271921,078513449,STERILE SERVICES CO.,UK5TLA4W74E5,5ALD8
,BPA CALL,FOCUSED MANAGEMENT INC,"USDA, DEPARTMENTAL ADMINISTRATION","February 24, 2022"," $65,847.32",12314418A0002,"USDA, OCP-POD-ACQ-MGMT-BRANCH-FTC",541519,DB02,SPRINGFIELD,002771215,VA,VZSYU448MJJ8,221501820,002771215,FOCUSED MANAGEMENT  INC.,VZSYU448MJJ8,1N8D8
,DELIVERY ORDER,BLUE TECH INC.,"USDA, DEPARTMENTAL ADMINISTRATION","February 24, 2022"," $32,905.68",NNG15SD00B,"USDA, OCP-POD-ACQ-MGMT-BRANCH-FTC",541519,7A21,SAN DIEGO,121701957,CA,MDC5LDZKQAM4,921105167,121701957,BLUE TECH INC.,MDC5LDZKQAM4,0CL10
,BPA CALL,NEW TECH SOLUTIONS INCORPORATED,"USDA, DEPARTMENTAL ADMINISTRATION","February 24, 2022"," $652,425.22",12314419A0025,"USDA, OCP-POD-ACQ-MGMT-BRANCH-FTC",443120,7E20,FREMONT,020149303,CA,XK11LLUL61A7,945383168,020149303,NEW TECH SOLUTIONS  INC.,XK11LLUL61A7,1QN24
